ubigeo,district,name,votes,percentage_valid,percentage_total
240101,CALLAO,CONTIGO CALLAO,77945,31.093,26.082
240102,BELLAVISTA,CONTIGO CALLAO,11757,25.35,21.638
240103,LA PUNTA,CONTIGO CALLAO,1848,44.509,39.521
240104,CARMEN DE LA LEGUA-REYNOSO,CONTIGO CALLAO,8942,29.736,25.738
240105,LA PERLA,CONTIGO CALLAO,8220,22.465,18.898
240106,VENTANILLA,CONTIGO CALLAO,43790,28.874,23.658
240107,MI PERU,CONTIGO CALLAO,6861,31.533,27.431
